symbol,description,asset_type,main_type,quantity,target
VWO,Vanguard FTSE Emerging Markets ETF,ETF,EQUITY,0,0
VGK,Vanguard FTSEEuropean ETF,ETF,EQUITY,0,0
VEA,Vanguard FTSE Developed Markets ETF,ETF,EQUITY,0,0
VPL,Vanguard FTSE Pacific ETF,ETF,EQUITY,0,0
VYM,Vanguard High Dividend Yield ETF,ETF,EQUITY,0,0
VGIT,Vanguard Intermediate-Term Treasury ETF,ETF,EQUITY,0,0
VV,Vanguard Large-Cap ETF,ETF,EQUITY,0,0
BLV,Vanguard Long-Term Bond ETF,ETF,EQUITY,0,0
VGLT,Vanguard Long-Treasury ETF,ETF,EQUITY,0,0
VO,Vanguard Mid-Cap ETF,ETF,EQUITY,0,0
VOT,Vanguard Mid-Cap Growth ETF,ETF,EQUITY,0,0
VOE,Vanguard Mid-Cap Value ETF,ETF,EQUITY,0,0
VTWO,Vanguard Russell 2000 ETF,ETF,EQUITY,0,0
VOO,Vanguard S&P 500 ETF,ETF,EQUITY,0,0
VOOV,Vanguard S&P 500 Value ETF,ETF,EQUITY,0,0
IVOO,Vanguard S&P Mid-Cap 400 ETF,ETF,EQUITY,0,0
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,ETF,EQUITY,0,0
VIOO,Vanguard S&P Small-Cap 600 ETF,ETF,EQUITY,0,0
BSV,Vanguard Short-Term Bond ETF,ETF,EQUITY,0,0
VGSH,Vanguard Short-Term Treasury ETF,ETF,EQUITY,0,0
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,ETF,EQUITY,0,0
VB,Vanguard Small-Cap ETF,ETF,EQUITY,0,0
